日付,駅名,乗車人員数
2021-11-17,さっぽろ（南北線）,43979
2021-11-17,さっぽろ（東豊線）,24890
2021-11-17,大通（南北線）,34747
2021-11-17,大通（東西線）,17868
2021-11-17,大通（東豊線）,12156
2021-11-17,すすきの,9200
2021-11-18,さっぽろ（南北線）,44398
2021-11-18,さっぽろ（東豊線）,25140
2021-11-18,大通（南北線）,34954
2021-11-18,大通（東西線）,18331
2021-11-18,大通（東豊線）,12257
2021-11-18,すすきの,9493
2021-11-19,さっぽろ（南北線）,48989
2021-11-19,さっぽろ（東豊線）,26972
2021-11-19,大通（南北線）,38487
2021-11-19,大通（東西線）,19087
2021-11-19,大通（東豊線）,12834
2021-11-19,すすきの,10829
2021-11-20,さっぽろ（南北線）,41009
2021-11-20,さっぽろ（東豊線）,19501
2021-11-20,大通（南北線）,33735
2021-11-20,大通（東西線）,13455
2021-11-20,大通（東豊線）,9182
2021-11-20,すすきの,12913
2021-11-21,さっぽろ（南北線）,33416
2021-11-21,さっぽろ（東豊線）,15565
2021-11-21,大通（南北線）,27945
2021-11-21,大通（東西線）,10616
2021-11-21,大通（東豊線）,7438
2021-11-21,すすきの,11103
2021-11-22,さっぽろ（南北線）,45234
2021-11-22,さっぽろ（東豊線）,24707
2021-11-22,大通（南北線）,35675
2021-11-22,大通（東西線）,17990
2021-11-22,大通（東豊線）,12224
2021-11-22,すすきの,10819
2021-11-23,さっぽろ（南北線）,29782
2021-11-23,さっぽろ（東豊線）,14271
2021-11-23,大通（南北線）,26259
2021-11-23,大通（東西線）,10628
2021-11-23,大通（東豊線）,7327
2021-11-23,すすきの,8638
2021-11-24,さっぽろ（南北線）,45310
2021-11-24,さっぽろ（東豊線）,25719
2021-11-24,大通（南北線）,35581
2021-11-24,大通（東西線）,19032
2021-11-24,大通（東豊線）,12671
2021-11-24,すすきの,9278
2021-11-25,さっぽろ（南北線）,46290
2021-11-25,さっぽろ（東豊線）,26126
2021-11-25,大通（南北線）,36426
2021-11-25,大通（東西線）,19351
2021-11-25,大通（東豊線）,12795
2021-11-25,すすきの,9831
2021-11-26,さっぽろ（南北線）,50554
2021-11-26,さっぽろ（東豊線）,27423
2021-11-26,大通（南北線）,40193
2021-11-26,大通（東西線）,20321
2021-11-26,大通（東豊線）,13432
2021-11-26,すすきの,11341
2021-11-27,さっぽろ（南北線）,39693
2021-11-27,さっぽろ（東豊線）,20371
2021-11-27,大通（南北線）,34544
2021-11-27,大通（東西線）,13636
2021-11-27,大通（東豊線）,9501
2021-11-27,すすきの,12367
2021-11-28,さっぽろ（南北線）,30704
2021-11-28,さっぽろ（東豊線）,14489
2021-11-28,大通（南北線）,27023
2021-11-28,大通（東西線）,10478
2021-11-28,大通（東豊線）,7283
2021-11-28,すすきの,9653
2021-11-29,さっぽろ（南北線）,44851
2021-11-29,さっぽろ（東豊線）,25646
2021-11-29,大通（南北線）,35281
2021-11-29,大通（東西線）,18734
2021-11-29,大通（東豊線）,12646
2021-11-29,すすきの,9213
